cnms,frequency,total_salecs
"Sprint Communications, Inc.",2,374.15700000000004
Maxtek,4,373.769
Musket Corporation,3,373.399
Paramount Global,3,373.204
Green Mtn Coffee Roasters,5,372.3
Sell-side clients,2,372.298
"Siemens Energy, Inc.",7,372.29400000000004
Automobile,1,372.2
Secretaria de Comunicaciones y Transportes,1,371.954
Logic,5,371.267
Zai Lab Limited,12,371.228
Bahamas,2,371.0
Federal Universal Service Fund,9,369.8
"Ucb SA, Bruxelles",11,369.765
Offshore and International,1,369.535
Scorpio LR2 Pool Limited,1,369.476
Government of China,6,369.226
Sales at company owned stores,1,369.199
Government of Russian Federation and Other State,1,369.056
AEROSPACE AND DEFENSE,2,368.914
U.S. Steel Corporation,3,368.909
Mutual fund and collective investment,6,368.6
Next Generation Communications,2,368.313
YAHOO INC,10,367.908
Wholesale Transmission,1,367.5
Core PC Postage,3,366.883
Samsung Electronics Co  -ADR,4,366.587
Marathon Petroleum Company,5,366.563
South African,5,366.509
Premium Customers,3,366.4
TRANSPORTATION & LEISURE,4,365.529
COCA-COLA ENTERPRISES INC,1,365.104
TSMC,2,364.716
Medical product manufacturers,3,364.305
"Honestar Technologies Co., Ltd.",5,363.968
Novartis International Pharmaceutical Ltd,8,363.45300000000003
Fidelity Printers and Refiners Limited,3,363.413
Retail Channels,1,363.4
Lifestyle websites,3,362.696
"United Suppliers, Inc.",11,362.618
77 Customers,2,361.57500000000005
Offline Sales (Wholesale),8,360.50600000000003
NOT REPORTED,20,359.595
CHERRY CORP,6,358.9
United Healthcare,45,358.641
Texas AirSystems LLC,2,358.159
Department of Health and Human Services,2,356.261
Digital channel,2,355.922
Cleveland-Cliffs Steel LLC,1,355.8
Batek Resources Limited,5,355.461
CHRYSLER CORP,8,355.439
Delivery,4,354.01800000000003
Self Storage-New Construction,1,354.0
Commercial Health Insurance,4,353.744
Metal Manufacturing,7,353.651
Enterprise Crude Oil LLC,6,353.408
Gap Inc. (The),68,353.306
British Telecommunications plc,10,352.914
"Samsung Semiconductor, Inc.",1,352.485
Private pay and Other,1,352.374
"La Mesa RV Center, Inc.",2,352.361
MAGNA INTERNATIONAL INC,2,352.212
Residential-Delaware & Maryland-Gas Distribution,6,352.211
Biotechnology,4,350.68600000000004
Private Pay and Other,1,349.64
Creative Professional,3,349.574
3 CUSTOMERS,6,348.832
ACE CASH EXPRESS INC,3,347.929
North American automotive & heavy duty truck marke,3,347.383
Non-Semiconductor Customers,2,347.164
Independent and specialty retailers,1,346.498
Party City owned stores,1,346.0
V.F. Corp,11,345.875
Production,1,345.86
Printed Circuit Board,2,345.201
Sunoco Partners Marketing,11,343.695
12 Customers,25,343.531
CIMA Energy,8,343.01
Precision manufacturing,1,342.975
Tenaska Marketing Ventures,4,341.98900000000003
Williams Field Services-Gulf Coast Company L.P.,2,341.716
Kern Oil & Refining,9,341.481
Europe the Middle East and Africa,3,340.93
Medium and heavy-duty truck,2,340.025
International (non-U.S.),2,340.015
Siemens Gamesa Renewable Energy SA,4,339.962
"Rio Energy International, Inc.",2,339.144
Digital media and entertainment,5,338.05899999999997
"Charlotte, NC",6,337.438
Television shopping business,1,336.0
Hyundai Corp,4,335.143
172 Customers,2,335.08299999999997
Contract Manufacturers,2,334.187
Isle of Man,1,334.119
British Petroleum,1,333.9
FACEBOOK INC  -REDH,9,333.3
Indirect Sales,2,333.043
Algoma Steel Inc.,1,332.658
Not Repported,2,332.524
Industrial and Manufacturing,1,331.909
Farmers' Market,4,331.875
M2M OEM,1,331.674
Teletry,2,331.65999999999997
United States - Original Equipment Manufacturer,6,330.529
Carahsoft Technology Corporation,4,330.163
Consolidated Edison Co of New York Inc,14,329.434
U.S. Trade,1,328.9
Latin American,1,327.722
113 Customers,1,327.53
out of Israel,3,326.60900000000004
SoftBank Corp,5,326.559
Membership Card Holders,2,325.882
"Butler Schein Animal Health Supply, LLC",3,325.387
Banfield,3,325.302
"Texas, Oklahoma, New Mexico, Colorado, Arkansas, L",3,325.243
United States and territories,3,325.119
Outside of the Americas and Israel,5,325.0
Tuition Assistance Programs,3,324.978
Iran,5,324.556
Chevron - Texaco,4,324.18600000000004
Direct Contractors of the Government,4,323.975
Apparel and Footwear,4,322.927
129 Customers,1,322.806
Transportation-Gas,13,321.85699999999997
US Department of Transportation,7,321.481
Rhode Island,3,321.246
Underground Facility Locating,2,320.99699999999996
"Ernest Health, Inc",5,320.457
Highway safety & construction,1,320.134
Industrial market,8,320.09000000000003
Independent sales representatives,7,320.003
TerSera Therapeutics LLC,3,320.0
Energy Services,4,319.728
Department of Veterans Affairs,7,319.529
Rail Transportation,4,319.29600000000005
Aboveground Storage Tanks,2,319.00800000000004
Aircraft owner/operator/service provider,1,318.015
Otsuka Corp,3,317.918
USVI,4,317.744
"ProFrac Services, LLC",3,317.661
The Direct Channel,4,317.43
"Janssen Pharmaceuticals Inc,",1,317.172
Europe and China,6,317.12
Domestic retail,3,317.0
RasGas Company Limited,1,316.318
Technology & IP,3,315.771
Guangzhou Railway Group and its subsidiaries,1,315.633
Website and Mobile site,1,313.848
Non-Exploration and Production,3,313.672
"Mobile, Wearables, and Consumer",10,312.00600000000003
U.S. & Foreign Militaries,4,311.318
Sanofi-Aventis,1,311.3
"Navajo Refining Company, L.P.",1,311.224
Hong Kong & Macau,1,310.317
"Boston, MA, Philadelphia, PA and Tampa-Saint Peter",2,310.17
The Gideons International,5,309.945
"JP Energy Development, LP",3,309.89
"Riot Games, Inc.",20,309.449
Plains Marketing L.P.,10,308.925
Specialty,6,308.365
ECHOSTAR COMMUN CORP  -CL A,8,308.114
General Electric Healthcare,10,307.89
Agents and Distributors,2,307.361
News Distribution,1,307.335
Chain Retailers,1,307.26
"RPMG, Inc",11,307.123
"Cohen & Steers Realty Shares, Inc.",7,306.821
Steam,8,306.2
Department\Specialty stores,1,305.68
ENTERPRISE PRODUCTS OPER(GS),2,305.474
Canada and the United States,1,305.158
Total E&P Congo,3,304.519
Florida Region,3,303.95
Critical Care,6,303.869
J.D. Heiskell & Company,2,302.547
Global distribution systems,8,302.229
RETAIL,1,302.186
China Mobile Communication Corporation,5,301.461
Sinopharm Holding Lingyun Biopharmaceutical,2,301.428
Inks,4,301.34
Fuel and Purchased Power,1,300.0
Enterprise Products Operating LP,2,299.779
Central-South,5,299.619
ScanSource Communications Group,11,299.591
Dollar Stores,22,299.21
Food retail,1,299.159
Siliconware Precision Industries Co Ltd,9,298.53999999999996
Industrial  -Electric,4,298.505
Commercial Third-Party Payors,3,298.283
"Vietnam, China, Mexico,United States & Switzerland",1,298.0
Ontario Electricity Financial Corp,2,297.651
Refining industries,9,297.396
Information technology,6,296.565
Illinois Department on Aging,2,296.365
Clinical,2,295.29200000000003
North American automotive industry,2,294.863
Mid-Continent,5,294.678
Healthcare organizations,4,294.089
Buenos Aires metropolitan area,1,293.964
Non-Israel,17,293.294
Conventional Energy,1,292.2
In-Restaurant,1,291.586
Tremor Video Network,2,291.283
Consolidated Electrical Distributors Inc,1,290.835
Office Coffee,1,290.808
Semgas,3,290.58
"Occidental Permian, LTD",8,290.35
WARNACO INC.,2,290.161
Direct-to-Consumer Business,1,290.1
Net Centric Customers,2,289.399
Square Inc,2,289.164
5 customers,3,289.06
Allied Group Ltd,8,289.0
"Beijing, Shanghai, Shenzhen and Guangzhou",2,289.0
Comdata Inc,3,288.996
Content Partners and Cell Phone PSAs,3,288.77
Ground Transportation Market,5,288.731
Preferred Pharmacy Network partners,6,288.627
Mid-Size Pharmaceutical,1,288.125
Clover,1,288.039
DSM Nutritional Products Ltd,3,287.606
Delek,2,287.41999999999996
Tier 1 Carriers,1,287.093
Glencore Plc,4,287.067
Eighty-Eight Oil LLC,1,286.9
Retail Investments,1,286.155
Communication end Market,2,285.98699999999997
Chemical industry,1,285.936
Hugoton Basin,1,284.952
GRGC and its Subsidiaries,1,284.78
"Kandi Electric Vehicles Group Co., Ltd.",4,284.608
Scalers,1,284.575
Vitol SA,1,284.248
Exclusive Networks SA,2,282.31100000000004
"Offshore (Philippines, Pakistan, India)",1,282.289
"ADAS, portable electronics, renewable energy and a",1,282.234
"BioRidge Pharma, LLC",2,281.41499999999996
Departments of the United States Government,3,280.026
Lifestyle-oriented websites,2,279.86400000000003
Tianjin Jing Dian Automobile Sales Information Co.,3,279.798
Chinese Government,7,279.747
Topgolf USA,3,279.546
"Indigo Natural Resources, LLC",2,278.0
State of Texas,4,277.858
Huawei Technologies,7,277.036
Department of Veterans Affairs Contract,6,276.052
United States - Clinical,2,275.68100000000004
935 Customers,1,275.554
Academic research,10,275.385
Control Technologies,1,275.0
Electric power grid operators,1,274.728
Gunvor,3,274.65999999999997
American Electric Power Service Corporation,3,274.563
Gunvor Colombia SAS,1,273.771
North American Retail,2,273.6
"Beijing, Hainan, Guangzhou and Ningbo",1,273.42
New industries,1,272.696
Alberta,9,272.665
Heavy- and Medium-Duty Commercial Vehicles,2,272.651
General Industries,3,272.53999999999996
"Mieco, inc",4,272.223
Government payors,1,271.59
AbbVie Ireland Unlimited Company,13,271.029
Hinkle Oil and Gas Inc.,1,271.022
Suntech Power Holdings Co Ltd,2,270.943
"C&H Sugar Company, Inc.",3,270.6
CAISO,2,269.82
Paint,2,269.735
Site-Built Construction,1,269.532
"Online, Phone and Chat",1,269.236
Advanced metering infrastructure,1,269.046
Department of Veteran Affairs (VA),3,268.88
Vifor Fresenius Medical Care Renal Pharma Ltd,8,268.635
Independent Installers,1,268.215
Vifor (International) Ltd.,6,268.084
O'Neal Steel,4,267.243
31 CUSTOMERS,1,266.116
"Banking, Financial Services & Insurance",4,265.6
outside of the Americas,1,265.327
"Global Convergence, Inc",3,265.223
Military & Aerospace,4,264.933
Shionogi & Co Ltd,7,264.83
Eli Lilly Trading (Shanghai) Company Limited,9,264.76800000000003
B&Q (Kingfisher),4,263.858
Governmental Entities,3,263.754
"London, England",2,263.523
Industrial & transport,1,263.356
BP AMERICA INC,1,262.818
Sociedad Portuaria El Cayao S.A. E.S.P.,5,262.794
"Compass Group USA, Inc.",11,262.409
Boston Financial Data Services Inc,2,262.25
Other US Regions,1,262.236
United Energy Trading,6,261.738
Oil & Gas - Downstream,2,261.692
Frontier Communications Corp,8,261.679
USDA Forest Service,2,261.593
Financial & Business Services,5,261.368
Hangzhou,4,260.751
U.S. Government Contracts,6,260.546
Daikin Industries Ltd,7,260.47
Non-Commercial,1,260.402
Specialty Transportation,3,260.3
Public Health/Life Sciences,4,260.067
SinoPharm Lingyun Biopharmaceutical Company Ltd.,3,259.638
BASF Corporation,25,259.402
Retail/Grocery,1,259.389
Cargill Inc(GS),7,259.147
State and Local,1,259.017
"DOT Foods, Inc",7,258.781
Outside Europe Union,2,258.154
Roche,7,257.358
Fuels & emission control,1,257.07
Calamos Growth and Income Fund,6,256.711
Southern United States,5,256.701
Southern FL,3,256.395
"Dublin, Ireland",11,256.209
Contract,6,255.584
Retail payment engines,1,255.536
Managed Care Program,2,255.521
Managed care and commercial payers,2,255.22299999999998
Empresa Nacional de Petroleo de Chile,2,254.89299999999997
Consumer discretionary,6,254.71
Consumer Sales-Direct to Consumer,2,254.54899999999998
"Communities, Homes and Buildings",3,254.34199999999998
Commercial applications,15,254.291
Natural Gas - Transportation,22,254.097
Restaurants - Other,1,253.936
Not  Reported,1,253.082
European,4,252.6
Direct marketing arrangements,1,252.186
"BP Products North America, Inc.",2,252.12
27 Customers,1,252.066
Aeco Technology Co,3,251.925
Outside Colombia,1,251.565
"California, Florida, Texas, New York, Pennsylvania",2,251.207
Premier Oil,4,250.927
Sears Roebuck & Co,2,250.812
Shell Western E&P Inc,1,250.799
IT Wholesale Channel,4,250.7
New single-family construction,1,250.596
"PRC, Taiwan and Japan",1,250.4
Europe (Excluding Norway),1,249.979
Hong Kong & China,4,249.857
Wholesale Channel,3,249.5
Asia Excluding China,2,249.43900000000002
CIGNA Corp,2,249.32500000000002
Clear Channel Communications,3,249.28699999999998
Fresenius Medical Care AG &Co KGAA,4,248.646
Five Star Senior Living Inc,5,248.584
Mail Handlers Benefit Plan,2,248.58
Fujitsu Semiconductor Limited,1,248.529
"AEON Life Insurance Company, Ltd",3,248.476
Prestige Healthcare,8,248.307
U.S. wholesalers and group purchasing organization,2,248.18599999999998
Antero Resources Corporation,5,248.0
Water utility service-Residential,7,247.348
Other U.S.,7,247.183
Distributors & Reseller Channels,3,246.875
New York Flagship Store,1,246.823
"Scissortail Energy, LLC",6,246.726
Biogen Idec Inc,22,246.619
Renewables,4,246.274
S. E. Louisiana,1,246.2
Direct Payment,2,246.17
Multi-Market,2,245.997
Food and beverage,8,245.757
OEM and National,4,245.44
Northeastern China,1,245.076
Independent Agents,3,244.935
Auramet International LLC,3,244.36
Modems,2,244.0
"State & Local Government, Educational Institution",1,243.859
PLAINS EXPLORATION & PROD CO,2,243.5
American Red Cross,7,243.427
Firm Transportation - Residential,12,243.407
Actis GP LLP,1,243.336
Volvo/Mack,5,243.106
Defense/VA,2,243.088
"Cloud, IT and software",2,242.97199999999998
Governmental agencies,3,242.846
Healthcare & Education,5,242.714
Hibernia Corp,1,242.3
"Alon USA, Inc.",7,241.916
Van,2,241.798
"Plains Pipeline, L.P.",2,241.757
Apparel and retail,2,241.529
Dow Hydrocarbons and Resources LLC,1,241.012
Higher Education,6,240.781
Business services,7,240.631
VESTAS WIND SYSTEMS AS,4,240.6
BG Energy Holdings Ltd,1,240.3
Ontario Electric Financial Corporation,2,239.264
Wholesalers and Institutional Consumers,4,239.197
Commercial/Institutional,1,238.551
AmSafe,1,238.029
National Health Service,1,237.72
160 Customers,1,237.593
Shell Trading,5,237.277
"Janssen Pharmaceuticals, Inc",18,237.27
Non-Semiconductor Capital Equipment,1,236.856
Techemet Metal Trading,4,236.7
Independent Retail Partners,1,236.518
Flash,8,236.389
Industrial - Natural Gas,16,235.52
Cargill International S.A.,8,235.39600000000002
"General Electric International, Inc.",1,234.795
"BP Products North America, Inc",1,234.468
Europe and the United Kingdom,4,234.39999999999998
Genentech Inc and Roche Group,4,234.356
ANTHEM INC,2,233.787
COVID-19,1,233.666
Yahoo,4,233.64
Commercial and Managed Care Providers,3,233.50400000000002
"AIG Global Services, Inc.",5,232.949
Rest of Emerging,1,232.68
Hilcorp North Slope LLC,3,232.159
DRIVE-THROUGH SALES,1,232.097
Outside of U.S.,9,231.98600000000002
CVS CAREMARK CORP,26,231.483
Direct foodservice customers,1,231.117
Northern Kentucky,3,230.8
e-Commerce channel,4,229.9
"Sinatay Life Insurance Company, Ltd",4,229.351
TOTAL SA,3,229.037
Financial Services Industry,5,228.983
ShopKo Stores Inc.,5,228.627
"Beijing, Shanghai, Guangzhou and Ningbo",1,228.56
Independent Electricity System Operator,2,228.541
Inpex Corp,6,228.186
"Huawei Investment & Holding Co., Ltd.",2,227.757
"Indivior, Inc.",5,227.386
"Distributors, resellers, and installers",3,226.87
"Managed care plans, commercial health insurers, wo",2,226.64999999999998
Mitsubishi Tanabe Pharma Corp,3,226.337
Morgan Stanley Capital Group,5,226.245
"Arrow Enterprise Computing Solutions, Inc.",1,226.148
Raytheon Co  -CL B,4,226.06900000000002
HILTON HOTELS CORP,3,225.79000000000002
ODM,4,225.742
Civil space,3,225.649
Andersen,3,225.45
Bunge Ltd,3,225.28799999999998
Air Freight & Logistics,4,225.145
Domestic Customers,1,225.012
Steam  - Electric,9,225.0
J&J Innovative Medicines,2,225.0
TEPPCO PARTNERS  -LP,5,224.595
Republic of Serbia,1,224.564
SMT Electronics assembly and memory manufacturing,6,224.493
Great Lakes Region,3,224.226
Electric - Steam,9,223.9
U.S. Postsecondary Education,1,223.659
Front-End Semiconductor,3,223.54
Shell Trading Co.,5,223.314
Sears Portrait Studios,1,222.8
"FFF Enterprise, Inc.",1,222.625
Health Care Facilities,4,222.6
U S Navy,2,222.19400000000002
Residential bulk,5,222.073
"PacifiCorp Energy, Inc.",2,221.8
Booz Allen & Hamilton Inc,17,221.584
Residential-Delmarva Natural Gas Distribution,3,221.55200000000002
Heidtman Steel Products,1,221.188
Sinovel Wind Group Co. Ltd.,1,221.169
"Plains Marketing, LP.",6,220.788
Shipping Line,2,220.724
Midamerican Energy Holding-Old,1,220.706
Oxygen-Healthcare,6,220.453
National Drilling Co,4,220.037
119 Customers,1,219.968
Tenkoz,3,219.851
U.S. federal government and agencies,5,219.32
TOTAL SA  -ADR,1,219.015
"Municipal, State & Federal Government",6,218.715
Wistron Neweb Corp,4,218.547
EDF Trading,2,218.041
Rocky Mountain,12,217.979
Manufacturing/High Tech,1,217.872
Valero Marketing & Supply Company,1,217.32
Industrial cooling,4,216.5
Commercial & Industrial-Florida Natural Gas Distri,2,216.313
Interconn Resources LLC,5,214.28900000000002
Retail Electric-Industrial,7,213.905
Transaction through affiliates and with customers,1,213.892
Original Equipment Services (OES),2,213.877
Crestwood Midstream Partners LP,7,213.76
156 Customers,1,213.336
Nokia Siemens,3,213.062
802 Customers,1,212.713
Retail Store,1,212.513
United States (Domestic),3,212.429
Builders FirstSource Inc,18,212.3
Dalian Ocean Shipping Co,4,212.071
Smartphone,2,211.87900000000002
MERCK & CO,22,211.614
PPO Plans,1,211.375
Global Brands Group,6,211.34799999999998
United HealthCare,4,211.28
Mundipharma & Purdue,3,211.218
Telecommunication customers,5,211.04399999999998
Guangdong,6,210.707
U.S.A and North America,3,210.563
Existing Customers,1,210.2
National security,4,209.623
Health & Fitness,14,209.508
"Anda, Inc",2,209.36399999999998
Defense and Veteran Health Solutions,1,209.187
"North, Central and South America",2,208.92000000000002
Miami-Ft. Lauderdale and Philadelphia,5,208.791
